review_id,order_id,review_score,tema,confianca_regra,palavras_chave_encontradas,texto_original
6006de8846364de064fbcec805ec6a7d,f8f5a61defba49f13a7e21a369026f04,1,atendimento,media,1,"Não tenho informações nenhuma do meu pedido, se vou recebe-lo ou o problema que aconteceu. Não consigo contato para essas devidas informações."
cf06fb4b5903b5e3ddc76f482d626e51,fe25e6ae3200a0fd420ba45277d19fc5,1,atendimento,alta,2,"Foi informado que seria enviado um produto bivolt e enviaram um produto 127v, resultando mais tempo sem cafeteira, reclamação realizada ao site e já se foram 48 horas e nenhum contato realizado."
3cd07e6913fe06ddbf4522cd3a308c2d,4d2e2634819452adb3313ccb5abd344f,1,atendimento,alta,2,"Foi roubada, ja mandei e-mail mas até agora nada, ninguém me respondeu"
365db2f855dd70d8dfff7f7db4cfeff9,2025b5bad835a500f8422436e24bd78f,1,atendimento,alta,4,"Não recebi o produto. E venho tentando, a 3 semanas,fazer contato por email ou telefone e não consigo. ÚNICA RESPOSTA QUE RECEBO A MINHA CONSULTA É QUE O ENVIO ESTÁ ATRASADO."
319a00108e04fc59298abd67b599b264,553a1f1b74cf15fe6cb4a01a627ab41f,1,atendimento,alta,2,"Pedi 3 cadeiras e só enviaram 2. E para piorar, deram como entregue segundo o site. Abri reclamação há dois dias e até hoje nada, nenhuma respostas. Quero os 100 reais de volta logo e urgente!"
a6a8e08c5712dfe45642af2646f1846a,c5e7498e13b3cedcde9bbefcd98596e4,1,atendimento,alta,2,Não é o produto que queria tento fazer a devolução e não me respondem.
da09d3e68abca336b2b79578bbb8cba4,a04b5357c7eb10bccebd46d6d051e8b0,1,atendimento,media,1,Fiz compra de dois itens porém só um foi entregue . Estou aguardando retorno do vendedor e ate o momento nada. Estou tendo muita dificuldades no contato e o processo já foi ffinalizado .
be1cee44c2abf15520f359b6adef6b45,97135194e893f6fd1c61580f1eb37bda,1,atendimento,media,1,"Comprei duas cadeiras, Nota Fiscal faturada as duas, já estou pagamento via Cartão de Crédito as duas e recebi tão somente uma. Já realizei reclamação junto ao baratheon e a Elo e até agora nada."
f2a329d3f60b4dc9215c54bd4451e0cf,bc057cb666f536dffa89e882573a1ff0,1,atendimento,media,1,Tive problemas mandei email para devolver a lannister disse que eu receberia retorno da targaryen em 48 hrs e ja se passaram 3 dias e nada ainda.
b1d218f3d372789a8db1ea0a425abe7e,a5b65501699091dc28e4499a0b143963,1,atendimento,media,1,COPRA VEIO ERRADA E NÃO CONSIGO RECLAMAR COM A baratheon PELO TELEFONE ESTA SEMPRE OCUPADO .
