order_id,order_purchase_timestamp,customer_state,seller_state,product_category_name,preco_total,frete_total,itens,product_weight_g,delayed,probabilidade_atraso,previsao_atraso
9e6bc602a2466daa94736f31d1319c5d,2018-05-26 17:57:44,SP,SP,relogios_presentes,332.57,24.07,2.0,350.0,0,0.3088409444974766,0
8fb4e4bd46f9802e9179726dd20019a5,2018-05-26 18:16:57,SP,SP,moveis_decoracao,350.0,13.07,1.0,1850.0,0,0.3780221353817433,0
88a78af246c6c2db88e72b384796c98c,2018-05-26 18:18:03,SP,SP,utilidades_domesticas,59.99,7.39,1.0,12050.0,0,0.3359784613585676,0
d7c663de1470a2d3671791d3f093991c,2018-05-26 18:25:53,SP,SP,instrumentos_musicais,55.0,12.83,1.0,600.0,0,0.32622951034298076,0
c0e57db4a4a6ef32aa28911d1c07df81,2018-05-26 18:41:31,SP,SP,utilidades_domesticas,36.0,12.79,1.0,1800.0,0,0.31188595673670183,0
4007c8123697940f0574798a18c6ad29,2018-05-26 18:50:39,MG,SP,automotivo,31.5,19.32,1.0,650.0,0,0.44443816492517285,0
ce0fc5f1ff91f6aaf5eae637a2827b2e,2018-05-26 18:51:09,SP,SP,cama_mesa_banho,74.99,13.88,1.0,1400.0,0,0.347056420065039,0
208d2f562248053cf12d13a00b6777fb,2018-05-26 18:55:12,BA,SP,cama_mesa_banho,37.9,17.06,1.0,264.0,1,0.5803609320817106,1
6d669b4dec428bc8362a8b39ed61aaae,2018-05-26 19:08:23,SP,SP,automotivo,50.9,14.29,1.0,2950.0,0,0.341921300242672,0
73c2f6a3fe158985da4f15118a77783a,2018-05-26 19:19:41,RJ,PR,moveis_decoracao,39.9,23.28,1.0,900.0,0,0.5024849534453911,1
55567a8e851b2400b53f74ec9b974221,2018-05-26 19:20:39,PR,SP,papelaria,21.2,15.23,1.0,150.0,0,0.3888880628982222,0
57796a616d95192ef9a47a6634733f89,2018-05-26 19:30:51,SC,SP,beleza_saude,151.0,15.72,1.0,200.0,0,0.5176009302192218,1
7ae97f48d1e1624e8baae4a3faee4837,2018-05-26 19:31:27,RJ,PR,informatica_acessorios,277.8,34.94,2.0,233.0,0,0.4731406380017677,0
5f42573c60286a6f9d6a3809352c86e0,2018-05-26 19:36:13,RJ,SP,relogios_presentes,59.97,45.69,3.0,100.0,0,0.49568904474847514,0
9392c5e72885ad5aba87e6223ca9838d,2018-05-26 19:42:48,AL,SP,moveis_decoracao,27.0,22.85,1.0,3450.0,0,0.6416676618426358,1
a4c753e682af75ae3bfafe65f6133f2c,2018-05-26 20:09:27,SP,MG,beleza_saude,83.9,15.47,1.0,210.0,0,0.28350802467847114,0
